14.7323 	EXP 	grating: autoDraw = False
14.7323 	EXP 	grating: ori = 5.0
14.7323 	EXP 	fixation: autoDraw = True
15.2155 	EXP 	fixation: autoDraw = False
15.2155 	EXP 	grating: autoDraw = True
15.5157 	EXP 	grating: autoDraw = False
15.7012 	DATA 	Keypress: right
15.7157 	EXP 	fixation: autoDraw = False
15.7157 	EXP 	grating: autoDraw = False
15.7157 	EXP 	grating: ori = -5.0
15.7157 	EXP 	fixation: autoDraw = True
16.1993 	EXP 	fixation: autoDraw = False
16.1993 	EXP 	grating: autoDraw = True
16.4986 	EXP 	grating: autoDraw = False
16.6515 	DATA 	Keypress: left
16.6653 	EXP 	fixation: autoDraw = False
16.6653 	EXP 	grating: autoDraw = False
16.6653 	EXP 	grating: ori = -4.0
16.6653 	EXP 	fixation: autoDraw = True
17.1656 	EXP 	fixation: autoDraw = False
17.1656 	EXP 	grating: autoDraw = True
17.4659 	EXP 	grating: autoDraw = False
17.6018 	DATA 	Keypress: left
17.6155 	EXP 	fixation: autoDraw = False
17.6155 	EXP 	grating: autoDraw = False
17.6155 	EXP 	grating: ori = 4.0
17.6155 	EXP 	fixation: autoDraw = True
18.1152 	EXP 	fixation: autoDraw = False
18.1152 	EXP 	grating: autoDraw = True
18.4156 	EXP 	grating: autoDraw = False
18.5674 	DATA 	Keypress: right
18.5824 	EXP 	fixation: autoDraw = False
18.5824 	EXP 	grating: autoDraw = False
18.5824 	EXP 	grating: ori = -4.0
18.5824 	EXP 	fixation: autoDraw = True
19.0658 	EXP 	fixation: autoDraw = False
19.0658 	EXP 	grating: autoDraw = True
19.3655 	EXP 	grating: autoDraw = False
19.6509 	DATA 	Keypress: right
19.6653 	EXP 	fixation: autoDraw = False
19.6653 	EXP 	grating: autoDraw = False
19.6653 	EXP 	grating: ori = 4.5
19.6653 	EXP 	fixation: autoDraw = True
20.1487 	EXP 	fixation: autoDraw = False
20.1487 	EXP 	grating: autoDraw = True
20.4487 	EXP 	grating: autoDraw = False
20.6181 	DATA 	Keypress: left
20.6319 	EXP 	fixation: autoDraw = False
20.6319 	EXP 	grating: autoDraw = False
20.6319 	EXP 	grating: ori = 5.0
20.6319 	EXP 	fixation: autoDraw = True
20.7167 	DATA 	Keypress: right
21.1328 	EXP 	fixation: autoDraw = False
21.1328 	EXP 	grating: autoDraw = True
21.4325 	EXP 	grating: autoDraw = False
21.8838 	DATA 	Keypress: right
21.8988 	EXP 	fixation: autoDraw = False
21.8988 	EXP 	grating: autoDraw = False
21.8988 	EXP 	grating: ori = 5.0
21.8988 	EXP 	fixation: autoDraw = True
22.3826 	EXP 	fixation: autoDraw = False
22.3826 	EXP 	grating: autoDraw = True
22.6825 	EXP 	grating: autoDraw = False
22.8014 	DATA 	Keypress: right
22.8159 	EXP 	fixation: autoDraw = False
22.8159 	EXP 	grating: autoDraw = False
22.8159 	EXP 	grating: ori = -5.0
22.8159 	EXP 	fixation: autoDraw = True
23.3160 	EXP 	fixation: autoDraw = False
23.3160 	EXP 	grating: autoDraw = True
23.6157 	EXP 	grating: autoDraw = False
23.7507 	DATA 	Keypress: left
23.7657 	EXP 	fixation: autoDraw = False
23.7657 	EXP 	grating: autoDraw = False
23.7657 	EXP 	grating: ori = 4.5
23.7657 	EXP 	fixation: autoDraw = True
24.2496 	EXP 	fixation: autoDraw = False
24.2496 	EXP 	grating: autoDraw = True
24.5660 	EXP 	grating: autoDraw = False
24.6673 	DATA 	Keypress: left
24.6987 	EXP 	fixation: autoDraw = False
24.6987 	EXP 	grating: autoDraw = False
24.6987 	EXP 	grating: ori = -5.0
24.6987 	EXP 	fixation: autoDraw = True
24.8502 	DATA 	Keypress: right
25.1822 	EXP 	fixation: autoDraw = False
25.1822 	EXP 	grating: autoDraw = True
25.4828 	EXP 	grating: autoDraw = False
25.7841 	DATA 	Keypress: left
25.7986 	EXP 	fixation: autoDraw = False
25.7986 	EXP 	grating: autoDraw = False
25.7986 	EXP 	grating: ori = -5.0
25.7986 	EXP 	fixation: autoDraw = True
26.2985 	EXP 	fixation: autoDraw = False
26.2985 	EXP 	grating: autoDraw = True
26.5989 	EXP 	grating: autoDraw = False
26.7679 	DATA 	Keypress: left
26.7820 	EXP 	fixation: autoDraw = False
26.7820 	EXP 	grating: autoDraw = False
26.7820 	EXP 	grating: ori = -5.0
26.7820 	EXP 	fixation: autoDraw = True
27.2823 	EXP 	fixation: autoDraw = False
27.2823 	EXP 	grating: autoDraw = True
27.5819 	EXP 	grating: autoDraw = False
27.8672 	DATA 	Keypress: left
27.8821 	EXP 	fixation: autoDraw = False
27.8821 	EXP 	grating: autoDraw = False
27.8821 	EXP 	grating: ori = -4.5
27.8821 	EXP 	fixation: autoDraw = True
28.3651 	EXP 	fixation: autoDraw = False
28.3651 	EXP 	grating: autoDraw = True
28.6656 	EXP 	grating: autoDraw = False
28.7677 	DATA 	Keypress: left
28.7823 	EXP 	fixation: autoDraw = False
28.7823 	EXP 	grating: autoDraw = False
28.7823 	EXP 	grating: ori = -4.5
28.7823 	EXP 	fixation: autoDraw = True
29.2821 	EXP 	fixation: autoDraw = False
29.2821 	EXP 	grating: autoDraw = True
29.5821 	EXP 	grating: autoDraw = False
29.7171 	DATA 	Keypress: left
29.7319 	EXP 	fixation: autoDraw = False
29.7319 	EXP 	grating: autoDraw = False
29.7319 	EXP 	grating: ori = -4.5
29.7319 	EXP 	fixation: autoDraw = True
30.2154 	EXP 	fixation: autoDraw = False
30.2154 	EXP 	grating: autoDraw = True
30.5152 	EXP 	grating: autoDraw = False
30.5842 	DATA 	Keypress: left
30.5989 	EXP 	fixation: autoDraw = False
30.5989 	EXP 	grating: autoDraw = False
30.5989 	EXP 	grating: ori = 4.0
30.5989 	EXP 	fixation: autoDraw = True
31.0822 	EXP 	fixation: autoDraw = False
31.0822 	EXP 	grating: autoDraw = True
31.3823 	EXP 	grating: autoDraw = False
