staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,CorrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
20,0.5,4.5,19.665295799961314,,19.649904899997637,19.665295799961314,20.148665700107813,20.148665700107813,20.148665700107813,20.448700699955225,20.616906499955803,right,4.5,0,0,0.4637170999776572,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
21,0.5,5.0,20.631947099929675,,20.617130799917504,20.631947099929675,21.13281930005178,21.13281930005178,21.13281930005178,21.432507399935275,21.88268949999474,right,5.0,1,1,0.7406095000915229,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
22,0.5,5.0,21.898782700067386,,21.882893400033936,21.898782700067386,22.38262930000201,22.38262930000201,22.38262930000201,22.682529899990186,22.800246099941432,right,5.0,1,1,0.40172840002924204,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
23,0.5,5.0,22.815860900096595,,22.800430600065738,22.815860900096595,23.315956100123003,23.315956100123003,23.315956100123003,23.615672199986875,23.7496255999431,left,-5.0,1,1,0.4243679998908192,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
24,0.5,4.5,23.765721200034022,,23.749825600069016,23.765721200034022,24.24959659995511,24.24959659995511,24.24959659995511,24.566013700095937,24.68310309993103,right,4.5,0,0,0.4166422998532653,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
25,0.5,5.0,24.698698200052604,,24.68328780005686,24.698698200052604,25.182187899947166,25.182187899947166,25.182187899947166,25.482798600103706,25.782967200037092,left,-5.0,1,1,0.5932034999132156,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
26,0.5,5.0,25.798573800129816,,25.783148300135508,25.798573800129816,26.298543400131166,26.298543400131166,26.298543400131166,26.598928899969906,26.766661999979988,left,-5.0,1,1,0.4556474999990314,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
27,0.5,5.0,26.782047800021246,,26.766844199970365,26.782047800021246,27.282314900076017,27.282314900076017,27.282314900076017,27.581942999968305,27.86599690001458,left,-5.0,1,1,0.5756656997837126,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
28,0.5,4.5,27.88214490003884,,27.86618040013127,27.88214490003884,28.365127299912274,28.365127299912274,28.365127299912274,28.6656224001199,28.76656790007837,left,-4.5,1,1,0.39186490001156926,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
29,0.5,4.5,28.782268000068143,,28.766745700035244,28.782268000068143,29.282068599946797,29.282068599946797,29.282068599946797,29.582083699991927,29.716010899981484,left,-4.5,1,1,0.4274987999815494,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
30,0.5,4.5,29.731886599911377,,29.71618920005858,29.731886599911377,30.21535519999452,30.21535519999452,30.21535519999452,30.515178400091827,30.58301219996065,left,-4.5,1,1,0.3552004999946803,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
31,0.5,4.0,30.598929800093174,,30.58319599996321,30.598929800093174,31.08224710007198,31.08224710007198,31.08224710007198,31.382309400010854,31.632613399997354,right,4.0,1,1,0.5413532999809831,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
32,0.5,4.0,31.648709299974144,,31.63281590002589,31.648709299974144,32.13177140010521,32.13177140010521,32.13177140010521,32.433973599923775,32.48265979997814,right,4.0,1,1,0.33986509987153113,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
